distance,p,q
0.933784162862,1571,98429
0.933906142403,2351,97649
0.934752526320,1613,98387
0.935975351809,2213,97787
0.936665997797,2153,97847
0.936787407947,2141,97859
0.936903026718,2129,97871
0.937298819101,1787,98213
0.937305629178,2081,97919
0.937390807527,2069,97931
0.937575534819,2039,97961
0.937637854477,2027,97973
0.937788131437,1871,98129
0.937806755697,1877,98123
0.947242237856,293,99707
0.957278902281,281,99719
0.998045535188,239,99761
1.004505870886,233,99767
1.051799060701,191,99809
1.076860754022,167,99833
